13 Going on 30|Apr 23, 2004
Owen Gleiberman|91
Peter Debruge|88
James Berardinelli|75
Carrie Rickey|75
Ellen A. Kim|75
Claudia Puig|75
Jami Bernard|75
M. E. Russell|75
Liam Lacey|75
Mick LaSalle|75
Kirk Honeycutt|70
Joe Leydon|70
Joe Morgenstern|70
Ann Hornaday|70
Sara Gebhardt|70
Lawrence Toppman|63
Jonathan Foreman|63
Chris Kaltenbach|63
Wesley Morris|63
Connie Ogle|63
Angel Cohn|60
Stephanie Zacharek|60
Olly Richards|60
Keith Phipps|50
Jorge Morales|50
Scott Foundas|50
Mark Caro|50
David Sterritt|50
Manohla Dargis|50
A.O. Scott|50
Andrea Gronvall|50
Roger Ebert|50
Robert Wilonsky|40
Pete Vonder Haar|40
Marrit Ingman|40
