15 Minutes|Mar 9, 2001
Mark Caro|75
Roger Ebert|75
Mick LaSalle|75
Larry Terenzi|70
Jonathan Rosenbaum|70
Andy Klein|70
Kenneth Turan|70
Jay Carr|63
Peter Travers|60
William Arnold|58
Jack Mathews|50
Stephanie Zacharek|50
David Sterritt|50
Carrie Rickey|50
Stephen Hunter|40
Todd McCarthy|40
Maitland McDonagh|40
Michael Sragow|38
Jonathan Foreman|38
Mike Clark|38
Michael Atkinson|30
Marc Savlov|30
Rene Rodriguez|25
Owen Gleiberman|25
Lawrence Toppman|25
Ernest Hardy|20
A.O. Scott|20
Peter Rainer|20
Desson Thomson|20
Joe Morgenstern|0
David Edelstein|0
Manohla Dargis|0
