2 Guns|Aug 2, 2013
Steve Persall|83
Chris Nashawaty|83
Robbie Collin|80
Bilge Ebiri|80
Joe Neumaier|80
William Goss|79
Richard Roeper|75
Odie Henderson|75
Adam Nayman|75
Lawrence Toppman|75
James Berardinelli|75
Manohla Dargis|70
Andrew O'Hehir|70
Keith Phipps|70
John DeFore|70
Scott Foundas|70
Marjorie Baumgarten|67
Steven Rea|63
Michael Phillips|63
Neil Alcock|60
Neil Smith|60
Bill Goodykoontz|60
Peter Rainer|58
Ben Kenigsberg|58
Mark Jenkins|50
Claudia Puig|50
Ty Burr|50
Joe Williams|50
Rene Rodriguez|50
Peter Travers|50
R. Kurt Osenlund|50
Stephanie Zacharek|50
Gabe Toro|42
Peter Bradshaw|40
Trevor Johnston|40
Mike Scott|40
Joe Morgenstern|40
Kenneth Turan|40
Mary Pols|40
Keith Uhlich|40
Kyle Smith|38
Ann Hornaday|37
Mick LaSalle|25
