200 Cigarettes|Feb 26, 1999
Mick LaSalle|75
Kevin Thomas|70
Michael Wilmington|63
M.V. Moorhead|60
Elvis Mitchell|60
Steven Mikulan|60
Susan Wloszczyna|50
James Berardinelli|50
Jessica Winter|50
Ray Conlogue|50
David Denby|50
Lisa Schwarzbaum|42
Lisa Alspector|40
Peter Travers|40
Richard Corliss|40
Mary Elizabeth Williams|40
Sandra Contreras|40
Jack Mathews|38
Steve Davis|30
John Christian Hoyle|25
G. Allen Johnson|25
Roger Ebert|12
Peter Rainer|10
Todd McCarthy|10
Desson Thomson|0
Keith Phipps|0
