21 Jump Street|Mar 16, 2012
Lisa Schwarzbaum|91
Sara Maria Vizcarrondo|90
Kyle Smith|88
Wesley Morris|88
Rene Rodriguez|88
Steve Persall|83
Peter Bradshaw|80
Betsy Sharkey|80
Mike Scott|80
Olly Richards|80
Michael Rechtshaffen|80
Peter Hartlaub|75
Joe Williams|75
Claudia Puig|75
Ann Hornaday|75
Peter Travers|75
Carrie Rickey|75
Michael Phillips|75
Lawrence Toppman|75
Roger Ebert|75
Jaime N. Christley|75
Andrew Lapin|70
Dana Stevens|70
A.O. Scott|70
Richard Corliss|70
Stephanie Zacharek|70
Bill Goodykoontz|70
David Edelstein|70
Peter Debruge|70
Shawn Levy|67
Nathan Rabin|67
James Berardinelli|63
James Mottram|60
Joe Morgenstern|60
Joe Neumaier|60
Keith Uhlich|60
Melissa Anderson|60
Ben Sachs|50
Peter Rainer|50
Liam Lacey|50
Marjorie Baumgarten|50
