27 Dresses|Jan 18, 2008
Chris Kaltenbach|75
Connie Ogle|75
Joe Leydon|70
Sean Axmaker|67
James Berardinelli|63
Claudia Puig|63
Wesley Morris|63
Angie Errigo|60
Owen Gleiberman|58
Peter Rainer|58
Michael Rechtshaffen|50
Kimberley Jones|50
Michael Phillips|50
Keith Phipps|50
Ryan Stewart|50
Ann Hornaday|50
Maitland McDonagh|50
Liam Lacey|50
Lou Lumenick|50
A.O. Scott|50
Jonathan Rosenbaum|50
Carina Chocano|50
Elizabeth Weitzman|50
Carrie Rickey|50
Pete Vonder Haar|50
Peter Travers|50
M. E. Russell|42
Robert Wilonsky|40
Mary Elizabeth Williams|40
Joe Morgenstern|30
Mick LaSalle|25
