3:10 to Yuma|Sep 7, 2007
Roger Ebert|100
Connie Ogle|100
Mick LaSalle|100
Michael Sragow|91
Kenneth Turan|90
KJ Doughton|90
Ken Fox|88
Jack Mathews|88
Ty Burr|88
Carrie Rickey|88
Peter Rainer|83
Tasha Robinson|83
Shawn Levy|83
Michael Rechtshaffen|80
David Denby|80
Todd McCarthy|80
J.R. Jones|80
Richard Schickel|80
Marjorie Baumgarten|78
Owen Gleiberman|75
James Berardinelli|75
Peter Travers|75
Lawrence Toppman|75
Claudia Puig|75
Jennie Punter|75
Lou Lumenick|75
Glenn Kenny|75
David Ansen|70
J. Hoberman|70
Scott Foundas|70
A.O. Scott|70
Stephanie Zacharek|70
David Edelstein|70
William Arnold|67
Michael Phillips|63
Joe Morgenstern|50
Stephen Hunter|50
