Finding Dory|Jun 17, 2016
Kate Taylor|100
Peter Hartlaub|100
Owen Gleiberman|100
Allison Shoemaker|91
A.O. Scott|90
Tim Grierson|90
Lou Lumenick|88
Moira Macdonald|88
Mark Feeney|88
Calvin Wilson|88
Peter Travers|88
Alonso Duralde|85
Drew McWeeny|83
David Ehrlich|83
Matthew Anderson|80
Jimi Famurewa|80
David Edelstein|80
Dana Stevens|80
Joe Morgenstern|80
Bill Goodykoontz|80
Robbie Collin|80
Bilge Ebiri|80
Ethan Sacks|80
Anna King|80
Lawrence Toppman|75
James Berardinelli|75
Steven Rea|75
Tasha Robinson|75
Ann Hornaday|75
Steve Persall|75
Jamie Maleszka|75
Richard Roeper|75
Christopher Gray|75
Michael Phillips|75
Roger Moore|75
Susan Wloszczyna|75
Chris Nashawaty|75
Kenneth Turan|70
Matt Singer|70
Peter Rainer|67
Kimberley Jones|67
Brian Roan|67
A.A. Dowd |67
Rene Rodriguez|63
Brian Truitt|63
Neil Smith|60
Jordan Hoffman|60
Todd McCarthy|60
