Money Monster|May 13, 2016
Tasha Robinson|89
Richard Roeper|88
Chris Hewitt (1)|80
Stephanie Zacharek|80
Steve Persall|75
Kate Taylor|75
Lou Lumenick|75
Christopher Gray|75
Mick LaSalle|75
Peter Travers|75
Steven Rea|75
Leah Greenblatt|75
A.O. Scott|70
Bill Goodykoontz|70
Andrew Barker|70
Drew McWeeny|67
Eric Kohn|67
Christy Lemire|63
Ty Burr|63
James Berardinelli|63
Brian Truitt|63
Ann Hornaday|63
Michael Phillips|63
Moira Macdonald|63
Roger Moore|63
Dave Calhoun|60
Robbie Collin|60
Peter Bradshaw|60
Russ Fischer|58
Kimberley Jones|50
Stephen Whitty |50
Lawrence Toppman|50
Todd McCarthy|50
Clint Worthington|42
Peter Rainer|42
Matt Singer|40
Kenneth Turan|40
Joe Morgenstern|40
Robert Abele|40
Tim Grierson|40
Jesse Hassenger|33
Melissa Anderson|30
Matthew Anderson|20
Andrew O'Hehir|10
