The Jungle Book|Apr 15, 2016
Joe Morgenstern|100
Randy Cordova|100
Peter Hartlaub|100
Matt Zoller Seitz|100
Chris Nashawaty|91
Drew McWeeny|91
Kenneth Turan|90
Bilge Ebiri|90
Sarah Ward|90
Roger Moore|88
Kate Taylor|88
Lawrence Toppman|88
Peter Travers|88
Ann Hornaday|88
Richard Roeper|88
Peter Rainer|83
Steve Persall|83
Dominick Suzanne-Mayer|83
Stephanie Zacharek|80
Bob Mondello|80
David Edelstein|80
Mike Scott|80
Peter Bradshaw|80
Cath Clarke|80
Joe Walsh|80
Robbie Collin|80
Andrew Barker|80
Alonso Duralde|80
Steve Davis|78
Moira Macdonald|75
James Berardinelli|75
Molly Eichel|75
Michael Phillips|75
Kyle Smith|75
Ty Burr|75
Calvin Wilson|75
Todd McCarthy|70
Tasha Robinson|69
Ignatiy Vishnevetsky|67
Eric Kohn|67
Brian Roan|67
Russ Fischer|67
Stephen Whitty |60
Matt Singer|60
Chris Hewitt (1)|60
Anthony Lane|50
Manohla Dargis|50
Rene Rodriguez|50
Sam C. Mac|50
